Source,Target
Dobrzyca Towarowa,Dobrzyca Towarowa
Dobrzyniec,Dobrzyniec
Domaniewice,Domaniewice
Drzewko,Drzewko
Dziebow,Dziebow
Dziewoszyce,Dziewoszyce
Dziębów,Dziębów
Dzięki,Danke
dzięki,Danke
Dąbrówno,Dąbrówno
Dębina,Dębina
"Dębina, podg","Dębina, podg"
Entry given,Einfahrt steht
entry given,Einfahrt steht
Exit given,Ausfahrt gegeben
exit given,Ausfahrt gegeben
Falewo,Falewo
Florek,Florek
Folwark,Folwark
Gabin,Gabin
Gadow,Gadow
Glebce,Glebce
Gleboszow,Gleboszow
Glinnik,Glinnik
Glogowo,Glogowo
Glowno,Glowno
Gora Wlodowska,Gora Wlodowska
Gostynin,Gostynin
Grabow,Grabow
Grabow Miasto,Grabow Miasto
Grabow Wies,Grabow Wies
Grabow Wschodni,Grabow Wschodni
Grabów,Grabów
Grabów Miasto,Grabów Miasto
Grabów Wieś,Grabów Wieś
Grabów Wschodni,Grabów Wschodni
Grebow,Grebow
GRODZ MAZ,GRODZ MAZ
Gryfow Slaski,Gryfow Slaski
Gryfów Śląski,Gryfów Śląski
Grzebowilk,Grzebowilk
Grębów,Grębów
Gutkowo,Gutkowo
Góra Włodowska,Góra Włodowska
Gąbin,Gąbin
Gądów,Gądów
Głogowo,Głogowo
Głowno,Głowno
Głębce,Głębce
Głęboszów,Głęboszów
Haldex,Haldex
Hel,Hel
Hetmanice,Hetmanice
Hi,hi
hi,hi
Igrekowice,Igrekowice
Imielin,Imielin
Imielin 2015,Imielin 2015
Janowka,Janowka
"Janowka, podg","Janowka, podg"
Janówka,Janówka
"Janówka, podg","Janówka, podg"
Jasienice,Jasienice
"Jasienice, podg","Jasienice, podg"
Jezykowice,Jezykowice
"Jezykowice, podg","Jezykowice, podg"
Jeżykowice,Jeżykowice
"Jeżykowice, podg","Jeżykowice, podg"
Jordanowo,Jordanowo
Jozefinow,Jozefinow
"Jozefinow, podg","Jozefinow, podg"
Józefinów,Józefinów
"Józefinów, podg","Józefinów, podg"
Karszynek,Karszynek
Kasztanki,Kasztanki
"Kasztanki, podg","Kasztanki, podg"
Kcynia,Kcynia
Kielce,Kielce
Kielce Bialogon,Kielce Bialogon
Kielce Białogon,Kielce Białogon
Kielce HERB KHA,Kielce HERB KHA
Kielce HERB KHB,Kielce HERB KHB
Kielce HERB R504,Kielce HERB R504
"Kielce HERB R504, podg","Kielce HERB R504, podg"
Kiely,Kiely
Kieły,Kieły
KLESZCZOW,KLESZCZOW
Kleszczow,Kleszczow
"Kleszczow, podg","Kleszczow, podg"
KLESZCZÓW,KLESZCZÓW
Kleszczów,Kleszczów
"Kleszczów, podg","Kleszczów, podg"
Klosowice,Klosowice
Kludna,Kludna
Knapowka,Knapowka
"Knapowka, podg","Knapowka, podg"
Knapówka,Knapówka
"Knapówka, podg","Knapówka, podg"
Kobior,Kobior
"Kobior, podg","Kobior, podg"
Kobiór,Kobiór
"Kobiór, podg","Kobiór, podg"
Kolsko,Kolsko
Korytow,Korytow
Korytów,Korytów
Kostomloty,Kostomloty
Kostomłoty,Kostomłoty
Koszalin,Koszalin
Kowalewo,Kowalewo
Kraski,Kraski
Krasnica,Krasnica
Krasnystawek Fabryczny,Krasnystawek Fabryczny
Kraśnica,Kraśnica
Krnow,Krnow
Krnów,Krnów
Krolikowo,Krolikowo
Kruszki,Kruszki
"Kruszki, podg","Kruszki, podg"
Krzecz,Krzecz
Krzekowo,Krzekowo
Krzemienice,Krzemienice
Krzemionka,Krzemionka
Krzęcz,Krzęcz
Królikowo,Królikowo
Kszety,Kszety
Kszęty,Kszęty
Kudowa-Zdroj,Kudowa-Zdroj
Kudowa-Zdrój,Kudowa-Zdrój
Kłosowice,Kłosowice
Kłudna,Kłudna
Lack,Lack
Lapanow,Lapanow
Lask,Lask
Laskarzew,Laskarzew
LCS Byki,LCS Byki
LCS Czerwiensk,LCS Czerwiensk
LCS Czerwieńsk,LCS Czerwieńsk
LCS Glowno,LCS Glowno
LCS Grodzisk Mazowiecki,LCS Grodzisk Mazowiecki
LCS Głowno,LCS Głowno
LCS Kleszczow,LCS Kleszczow
LCS Kleszczów,LCS Kleszczów
LCS Obzerniki,LCS Obzerniki
LCS Obżerniki,LCS Obżerniki
LCS Ozorkow,LCS Ozorkow
LCS Ozorków,LCS Ozorków
LCS Perzow,LCS Perzow
LCS Perzów,LCS Perzów
LCS Polska,LCS Polska
LCS Sandomierz,LCS Sandomierz
LCS Sarnow,LCS Sarnow
LCS Sarnów,LCS Sarnów
LCS Zywiec,LCS Zywiec
LCS Żywiec,LCS Żywiec
Lebnino,Lebnino
Lebork,Lebork
Leczyca,Leczyca
Legno,Legno
Leka,Leka
Lesznowola,Lesznowola
Letownia,Letownia
Lewkow,Lewkow
Lewków,Lewków
Ligota Grabowska,Ligota Grabowska
Ligota Trzeszcze,Ligota Trzeszcze
Lilianowo,Lilianowo
Lisiczki,Lisiczki
Liskow,Liskow
Liskow Miasto,Liskow Miasto
Liskow Rynek,Liskow Rynek
"Liskow Rynek, podg","Liskow Rynek, podg"
Lisków,Lisków
Lisków Miasto,Lisków Miasto
Lisków Rynek,Lisków Rynek
"Lisków Rynek, podg","Lisków Rynek, podg"
Lodygowice,Lodygowice
Lodz Chojny,Lodz Chojny
Lopiennik,Lopiennik
Lopiennik Dolny,Lopiennik Dolny
Lublinek,Lublinek
Luczki,Luczki
Lutol Suchy,Lutol Suchy
Luzino,Luzino
Lwuwek Sl.,Lwuwek Sl.
Lwuwek Śl.,Lwuwek Śl.
Lębork,Lębork
Makow Podhalanski,Makow Podhalanski
Maków Podhalański,Maków Podhalański
Markow,Markow
"Markow, podg","Markow, podg"
Marków,Marków
"Marków, podg","Marków, podg"
Miasto Albercice,Miasto Albercice
Milego papa,Hab einen schönen Tag und bis zum nächsten mal. bye
milego papa,Hab einen schönen Tag und bis zum nächsten mal. bye
Milowka,Milowka
Milówka,Milówka
Minkowice,Minkowice
Miłego papa,Hab einen schönen Tag und bis zum nächsten mal. bye
miłego papa,Hab einen schönen Tag und bis zum nächsten mal. bye
Modlinkow,Modlinkow
"Modlinkow, podg","Modlinkow, podg"
Modlinków,Modlinków
"Modlinków, podg","Modlinków, podg"
Monki,Monki
Most,Most
"Most, podg","Most, podg"
Motlawy,Motlawy
Motławy,Motławy
Mońki,Mońki
Mszczonow,Mszczonow
Mszczonów,Mszczonów
Murki,Murki
Murki Kopalnia,Murki Kopalnia
Naklo,Naklo
Nakło,Nakło
Naterki,Naterki
Nawia,Nawia
"Nawia, podg","Nawia, podg"
Nie,Nein
nie,Nein
Niedoradz,Niedoradz
Nowa Wies Wielka,Nowa Wies Wielka
Nowa Wieś Wielka,Nowa Wieś Wielka
Nowiny Wielkie,Nowiny Wielkie
Nysowiec,Nysowiec
O7,o7
o7,o7
Obzerniki,Obzerniki
Obżerniki,Obżerniki
Odolany,Odolany
Oh przyjazd,Oh Verstanden
oh przyjazd,Oh Verstanden
OKON GLOWNY,OKON GLOWNY
Okon Glowny,Okon Glowny
OKOŃ GŁÓWNY,OKOŃ GŁÓWNY
Okoń Główny,Okoń Główny
Oleszkowice,Oleszkowice
Olszamowice,Olszamowice
Orniki,Orniki
Osowo,Osowo
"Osowo, podg","Osowo, podg"
Otok,Otok
Otwocko,Otwocko
Ozorkow,Ozorkow
Ozorków,Ozorków
Pa Pa,Tschüss
Pa pa,Tschüss
pa pa,Tschüss
Pabianice,Pabianice
Papa,Tschüss
papa,Tschüss
Parow,Parow
Parzeczewo,Parzeczewo
Parzeczewo Miasto,Parzeczewo Miasto
Parzeczewo Towarowe,Parzeczewo Towarowe
Parzęczewo,Parzęczewo
Parzęczewo Miasto,Parzęczewo Miasto
Parzęczewo Towarowe,Parzęczewo Towarowe
Parów,Parów
Perzow,Perzow
Perzów,Perzów
Piaski,Piaski
"Piaski, podg","Piaski, podg"
Piaskowo,Piaskowo
Pilichowice,Pilichowice
"Pilichowice, podg","Pilichowice, podg"
Plycwia,Plycwia
Poddebice,Poddebice
Poddębice,Poddębice
podg OZ,podg OZ
"podg OZ, podg","podg OZ, podg"
Podkowa Polna,Podkowa Polna
"Podkowa Polna, podg","Podkowa Polna, podg"
Pogorz,Pogorz
Pogórz,Pogórz
PORENSK,PORENSK
Porensk,Porensk
POREŃSK,POREŃSK
Poreńsk,Poreńsk
Prawylas,Prawylas
"Prawylas, podg","Prawylas, podg"
Pruszkow,Pruszkow
Pruszków,Pruszków
Przelot podany,Durchfahrt gestellt
przelot podany,Durchfahrt gestellt
Przesy,Przesy
Przyjąłem,Verstanden
przyjąłem,Verstanden
Przęsy,Przęsy
Psary,Psary
Pszczyna,Pszczyna
Pustelnik,Pustelnik
Płyćwia,Płyćwia
Radostowice,Radostowice
Radowice,Radowice
Radzikowo,Radzikowo
Rajcza,Rajcza
Raki,Raki
Razemsko,Razemsko
Rebrowo Dolne,Rebrowo Dolne
Rencze,Rencze
Reńcze,Reńcze
Rogalin,Rogalin
Rogow,Rogow
Rogów,Rogów
Rudnik nad Sanem,Rudnik nad Sanem
Rudziczka,Rudziczka
"Rudziczka, podg","Rudziczka, podg"
Ryb. Gotartowice,Ryb. Gotartowice
"Ryb. Gotartowice, podg","Ryb. Gotartowice, podg"
Rychlik,Rychlik
Rzewnik,Rzewnik
Sadurki,Sadurki
Sandomierz,Sandomierz
Santok Zdroj,Santok Zdroj
Santok Zdrój,Santok Zdrój
Sarnow,Sarnow
Sarnow Modrzewski,Sarnow Modrzewski
Sarnów,Sarnów
Sarnów Modrzewski,Sarnów Modrzewski
Servus,servus
servus,servus
Shp,shp
shp,shp
Sieniawka,Sieniawka
Sierakowek,Sierakowek
Sierakówek,Sierakówek
Skawce,Skawce
Skrzynki,Skrzynki
Slawica,Slawica
Slucham,Ich höre
slucham,Ich höre
Sol,Sol
Sowi Bor,Sowi Bor
Sowi Bór,Sowi Bór
Sroka,Sroka
Sroka Poludnie,Sroka Poludnie
"Sroka Poludnie, podg","Sroka Poludnie, podg"
Sroka Południe,Sroka Południe
"Sroka Południe, podg","Sroka Południe, podg"
"Sroka, podg","Sroka, podg"
Stare Lipowo,Stare Lipowo
Starzyny,Starzyny
"Starzyny, podg","Starzyny, podg"
Stefanowo,Stefanowo
Stogi,Stogi
Stolnica Wielka,Stolnica Wielka
Straczki,Straczki
Strumien,Strumien
Strumień,Strumień
Strykow,Strykow
Stryków,Stryków
Strzelce Kujawskie,Strzelce Kujawskie
Strączki,Strączki
Studzionka,Studzionka
"Studzionka, podg","Studzionka, podg"
Sucha Beskidzka,Sucha Beskidzka
Sufczyn,Sufczyn
Sulechow,Sulechow
Sulechów,Sulechów
Sulecinek,Sulecinek
Sulęcinek,Sulęcinek
Suszec,Suszec
Suszec Kopalnia,Suszec Kopalnia
Swiatnice,Swiatnice
Swielborze,Swielborze
Swielborze GT,Swielborze GT
Swielborze Sb5,Swielborze Sb5
"Swielborze Sb5, podg","Swielborze Sb5, podg"
Szadek,Szadek
Szeligi,Szeligi
Szlak zajęty,Strecke ist belegt
szlak zajęty,Strecke ist belegt
Szlichtyngowa,Szlichtyngowa
Sól,Sól
Sławica,Sławica
Słucham,Ich höre
słucham,Ich höre
Tak,Ja
tak,Ja
Tarczynce,Tarczynce
Tarczyńce,Tarczyńce
Tarkowice,Tarkowice
Tarkowo,Tarkowo
Tarnowo Gorne,Tarnowo Gorne
Tarnowo Górne,Tarnowo Górne
TEFAMA,TEFAMA
Testowo,Testowo
TOMASZOW MAZ.,TOMASZOW MAZ.
Tomaszow Mazowiecki,Tomaszow Mazowiecki
TOMASZÓW MAZ.,TOMASZÓW MAZ.
Tomaszów Mazowiecki,Tomaszów Mazowiecki
Tomyslow,Tomyslow
Tomysłów,Tomysłów
Torkow,Torkow
"Torkow, podg","Torkow, podg"
Torków,Torków
"Torków, podg","Torków, podg"
Torzyn,Torzyn
Torzyn gt,Torzyn gt
"Torzyn, podg","Torzyn, podg"
Trawniczki,Trawniczki
Trzymalkowice,Trzymalkowice
Trzymałkowice,Trzymałkowice
Uc,Uc
Uherka,Uherka
Uhrusk,Uhrusk
Usun rj,Bitte den Fahrplan löschen
usun rj,Bitte den Fahrplan löschen
Uć,Uć
Wadowice,Wadowice
"Wadowice, podg.","Wadowice, podg."
Warszawa Wilenska,Warszawa Wilenska
Warszawa Wileńska,Warszawa Wileńska
Warszowice,Warszowice
Warszowice-Strumien,Warszowice-Strumien
Warszowice-Strumień,Warszowice-Strumień
Wasilkow,Wasilkow
Wasilków,Wasilków
Wazowo,Wazowo
Wegierska Gorka,Wegierska Gorka
Weglowce,Weglowce
Weltawa,Weltawa
Wełtawa,Wełtawa
Widawa,Widawa
Wielgowo,Wielgowo
Wielichowo,Wielichowo
Wielichowo Gl. WGA,Wielichowo Gl. WGA
Wielichowo Gl. WGB,Wielichowo Gl. WGB
Wielichowo Gł. WGA,Wielichowo Gł. WGA
Wielichowo Gł. WGB,Wielichowo Gł. WGB
Wielichowo Wies,Wielichowo Wies
Wielichowo Wieś,Wielichowo Wieś
Wielicz Park,Wielicz Park
Wierych R1,Wierych R1
"Wierych R1, podg","Wierych R1, podg"
Wierzbin,Wierzbin
Wijewo,Wijewo
Wilczyca,Wilczyca
Wilisz,Wilisz
Wilisz Poligon,Wilisz Poligon
Wilki,Wilki
Wilkowice Bystra,Wilkowice Bystra
Winiary,Winiary
Winiary GT,Winiary GT
Witam,Hallo
witam,Hallo
Witkograd,Witkograd
Witonia,Witonia
Witowo,Witowo
Wjazd podany,Einfahrt gegeben
wjazd podany,Einfahrt gegeben
Wloszczowa Polnoc,Wloszczowa Polnoc
Wn ++,Wn ++
wn ++,Wn ++
Wodnica,Wodnica
Wola,Wola
Wola Nowska,Wola Nowska
Wola Porenska,Wola Porenska
Wola Poreńska,Wola Poreńska
Wronowice,Wronowice
Wschowa,Wschowa
Wwa Gl Tow WOA,Wwa Gl Tow WOA
Wwa Gl Tow WOB,Wwa Gl Tow WOB
Wwa Gl Tow WOC,Wwa Gl Tow WOC
Wwa Gł Tow WOA,Wwa Gł Tow WOA
Wwa Gł Tow WOB,Wwa Gł Tow WOB
Wwa Gł Tow WOC,Wwa Gł Tow WOC
Wwa Jelonki,Wwa Jelonki
Wwa Wilenska,Wwa Wilenska
Wwa Wileńska,Wwa Wileńska
Węgierska Górka,Węgierska Górka
Węglowce,Węglowce
Włoszczowa Północ,Włoszczowa Północ
Z/w,afk
z/w,afk
Zaborow,Zaborow
"Zaborow, podg","Zaborow, podg"
Zaborów,Zaborów
"Zaborów, podg","Zaborów, podg"
Zajęty,Besetzt
zajęty,Besetzt
Zakopane,Zakopane
Zalesie Gorzyckie,Zalesie Gorzyckie
"Zalesie Gorzyckie, podg","Zalesie Gorzyckie, podg"
Zawadowka,Zawadowka
Zawadówka,Zawadówka
Zbydniow,Zbydniow
Zbydniów,Zbydniów
Zdroje,Zdroje
Zebrzydowice,Zebrzydowice
Zelislawice,Zelislawice
Zerniki,Zerniki
Zgierz,Zgierz
Zgierz Kontrewers,Zgierz Kontrewers
Zgliczyn-Glinki,Zgliczyn-Glinki
Zielona Gora Glowna,Zielona Gora Glowna
Zielona Góra Główna,Zielona Góra Główna
Zimnice,Zimnice
ZORY,ZORY
Zory,Zory
Zw,afk
zw,afk
Zwardon,Zwardon
Zwardoń,Zwardoń
Zyrardow,Zyrardow
Zywiec,Zywiec
Łapanów,Łapanów
Łask,Łask
Łaskarzew,Łaskarzew
Łebnino,Łebnino
Łodygowice,Łodygowice
Łopiennik,Łopiennik
Łopiennik Dolny,Łopiennik Dolny
Łódź Chojny,Łódź Chojny
Łąck,Łąck
Łęczyca,Łęczyca
Łęka,Łęka
Łętownia,Łętownia
Świelborze,Świelborze
Świelborze GT,Świelborze GT
Świelborze Sb5,Świelborze Sb5
"Świelborze Sb5, podg","Świelborze Sb5, podg"
Świątnice,Świątnice
Żelisławice,Żelisławice
Żerniki,Żerniki
ŻORY,ŻORY
Żory,Żory
Żyrardów,Żyrardów
Żywiec,Żywiec
